,DBA,CVLEGEND,B1_FULL_ADDRESS,Lat,Lon
3697,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2100 HASTE ST,37.864908,-122.267289
3136,DISTURBANCE,DISORDERLY CONDUCT,2600 BENVENUE AVE,37.863522,-122.254992
5242,BURGLARY AUTO,BURGLARY - VEHICLE,1100 ARCH ST,37.888784,-122.266699
4556,DOMESTIC VIOLENCE,FAMILY OFFENSE,COLLEGE AVENUE & WOOLSEY ST,37.853896,-122.252739
1085,DISTURBANCE,DISORDERLY CONDUCT,1800 FOURTH ST,37.869944,-122.300636
594,BURGLARY AUTO,BURGLARY - VEHICLE,2900 NINTH ST,37.8526,-122.289715
5360,ASSAULT/BATTERY FEL.,ASSAULT,1600 MILVIA ST,37.877951,-122.271395
888,IDENTITY THEFT,FRAUD,1000 MILLER AVE,37.894233,-122.260552
65,BURGLARY AUTO,BURGLARY - VEHICLE,3000 TELEGRAPH AVE,37.855435,-122.259841
3767,VANDALISM,VANDALISM,2400 RIDGE RD,37.87587,-122.261777
5412,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1100 GRIZZLY PEAK BLVD,37.892532,-122.256352
1544,IDENTITY THEFT,FRAUD,2700 DOHR ST,37.857694,-122.281628
4289,VANDALISM,VANDALISM,1400 UNIVERSITY AVE,37.870054,-122.284263
367,IDENTITY THEFT,FRAUD,1000 MARIPOSA AVE,37.889658,-122.270137
1469,VANDALISM,VANDALISM,100 SEAWALL DR,37.863611,-122.317566
2487,DISTURBANCE,DISORDERLY CONDUCT,1500 UNIVERSITY AVE,37.870396,-122.281585
3854,ROBBERY,ROBBERY,2300 TELEGRAPH AVE,37.868714,-122.259189
4174,ASSAULT/BATTERY MISD.,ASSAULT,HASTE STREET & ATHERTON ST,37.86529,-122.264364
719,DISTURBANCE,DISORDERLY CONDUCT,2200 VIRGINIA ST,37.876881,-122.266666
4712,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 ELMWOOD AVE,37.85717,-122.252209
1806,BURGLARY AUTO,BURGLARY - VEHICLE,400 KENTUCKY AVE,37.904154,-122.272662
4236,THEFT FROM AUTO,LARCENY - FROM VEHICLE,200 MARINA BLVD,37.868667,-122.313656
5010,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2300 PARKER ST,37.862763,-122.262639
610,THEFT MISD. (UNDER $950),LARCENY,2400 PIEDMONT CIR,37.867546,-122.251967
4657,BURGLARY AUTO,BURGLARY - VEHICLE,1100 UNIVERSITY AVE,37.869067,-122.292043
5244,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2000 YOLO AVE,37.885859,-122.272461
2575,DISTURBANCE,DISORDERLY CONDUCT,2800 PARK ST,37.855964,-122.283114
4306,THEFT MISD. (UNDER $950),LARCENY,600 SAN LUIS RD,37.899812,-122.275273
3191,THEFT MISD. (UNDER $950),LARCENY,SHATTUCK AVENUE & KITTREDGE ST,37.868512,-122.26781
3189,THEFT MISD. (UNDER $950),LARCENY,1900 RUSSELL ST,37.856132,-122.271292
3785,SEXUAL ASSAULT FEL.,SEX CRIME,2000 ADDISON ST,37.870867,-122.270635
4912,THEFT FROM AUTO,LARCENY - FROM VEHICLE,UNIVERSITY AVENUE & EIGHTH ST,37.868366,-122.295508
122,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1600 CHANNING WAY,37.864333,-122.278792
380,THEFT MISD. (UNDER $950),LARCENY,2900 SAN PABLO AVE,37.853576,-122.287202
5247,BURGLARY AUTO,BURGLARY - VEHICLE,2100 BERKELEY WAY,37.873201,-122.267444
2441,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,37.862844,-122.298368
5381,BURGLARY AUTO,BURGLARY - VEHICLE,2100 FIFTH ST,37.866288,-122.298344
1862,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,37.862844,-122.298368
5342,VANDALISM,VANDALISM,HASTE STREET & PIEDMONT AVE,37.866803,-122.251847
749,DISTURBANCE,DISORDERLY CONDUCT,1900 BERKELEY WAY,37.87247,-122.273021
3175,DOMESTIC VIOLENCE,FAMILY OFFENSE,1300 UNIVERSITY AVE,37.869764,-122.28655
3260,THEFT MISD. (UNDER $950),LARCENY,2100 KITTREDGE ST,37.868512,-122.26781
4554,NARCOTICS,DRUG VIOLATION,BAY STREET & POTTER ST,37.850424,-122.296031
1887,DISTURBANCE,DISORDERLY CONDUCT,2400 PIEDMONT AVE,37.867546,-122.251967
2652,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,37.858079,-122.268016
5417,VANDALISM,VANDALISM,2600 SAN PABLO AVE,37.85922,-122.289035
5459,BURGLARY AUTO,BURGLARY - VEHICLE,2400 PIEDMONT AVE,37.867546,-122.251967
3393,BURGLARY AUTO,BURGLARY - VEHICLE,1600 ALLSTON WAY,37.867906,-122.279428
4682,NARCOTICS,DRUG VIOLATION,GRAYSON STREET & SEVENTH ST,37.855294,-122.292475
539,FRAUD/FORGERY,FRAUD,1400 OXFORD ST,37.882135,-122.267239
173,THEFT MISD. (UNDER $950),LARCENY,1200 CARRISON ST,37.851521,-122.28549
4969,NARCOTICS,DRUG VIOLATION,BAY STREET & POTTER ST,37.850424,-122.296031
3373,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2400 HASTE ST,37.865849,-122.259977
1709,DOMESTIC VIOLENCE,FAMILY OFFENSE,DELAWARE STREET & EIGHTH ST,37.871013,-122.296366
925,THEFT FELONY (OVER $950),LARCENY,2700 ASHBY PL,37.85717,-122.252209
2690,BURGLARY AUTO,BURGLARY - VEHICLE,1300 BONITA AVE,37.883407,-122.273154
4002,BURGLARY AUTO,BURGLARY - VEHICLE,100 HILL RD,37.888241,-122.250875
4310,THEFT MISD. (UNDER $950),LARCENY,1900 MILVIA ST,37.873607,-122.270903
141,DISTURBANCE,DISORDERLY CONDUCT,2200 NINTH ST,37.865875,-122.293523
3454,NARCOTICS,DRUG VIOLATION,ADELINE STREET & ALCATRAZ AVE,37.848752,-122.271331
5299,DISTURBANCE,DISORDERLY CONDUCT,ADELINE STREET & ALCATRAZ AVE,37.848752,-122.271331
285,BURGLARY AUTO,BURGLARY - VEHICLE,2000 OREGON ST,37.857409,-122.268473
1387,BURGLARY AUTO,BURGLARY - VEHICLE,2400 HASTE ST,37.865849,-122.259977
3760,THEFT MISD. (UNDER $950),LARCENY,1500 SHATTUCK AVE,37.880227,-122.26936
4647,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,ADELINE STREET & ALCATRAZ AVE,37.848752,-122.271331
3219,BURGLARY AUTO,BURGLARY - VEHICLE,FIFTH STREET & ADDISON ST,37.866472,-122.298403
1578,NARCOTICS,DRUG VIOLATION,BAY STREET & POTTER ST,37.850424,-122.296031
4898,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2100 OREGON ST,37.857637,-122.266803
1210,THEFT MISD. (UNDER $950),LARCENY,3300 CALIFORNIA ST,37.847838,-122.275741
4674,NARCOTICS,DRUG VIOLATION,DWIGHT WAY & FOURTH ST,37.859557,-122.29733
5457,THEFT MISD. (UNDER $950),LARCENY,2000 CENTER ST,37.869973,-122.270557
3941,DOMESTIC VIOLENCE,FAMILY OFFENSE,900 INDIAN ROCK AVE,37.893448,-122.272137
5447,VANDALISM,VANDALISM,2700 VIRGINIA ST,37.878241,-122.257059
2856,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,ALCATRAZ AVENUE & ADELINE ST,37.848752,-122.271331
4404,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,ALCATRAZ AVENUE & ADELINE ST,37.848752,-122.271331
1717,THEFT MISD. (UNDER $950),LARCENY,2150 SHATTUCK AVE,37.870345,-122.268073
2659,THEFT FELONY (OVER $950),LARCENY,1700 WARD ST,37.858392,-122.275421
4456,NARCOTICS,DRUG VIOLATION,EIGHTH STREET & CHANNING WAY,37.862184,-122.293517
2519,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,37.858079,-122.268016
885,THEFT MISD. (UNDER $950),LARCENY,1800 HARMON ST,37.849512,-122.272671
1852,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2900 SAN PABLO AVE,37.853576,-122.287202
5405,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2700 REGENT ST,37.861573,-122.257452
3032,IDENTITY THEFT,FRAUD,2000 SAN PABLO AVE,37.868845,-122.29214
3498,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1000 OXFORD ST,37.890716,-122.268299
3265,ASSAULT/BATTERY FEL.,ASSAULT,1500 HARMON ST,37.848812,-122.278043
5397,THEFT MISD. (UNDER $950),LARCENY,SECOND STREET & HEARST AVE,37.868417,-122.302539
1847,THEFT MISD. (UNDER $950),LARCENY,2100 FOURTH ST,37.866253,-122.299483
4214,BURGLARY AUTO,BURGLARY - VEHICLE,DWIGHT WAY & TELEGRAPH AVE,37.865121,-122.258455
3871,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2100 DWIGHT WAY,37.863977,-122.267307
90,THEFT MISD. (UNDER $950),LARCENY,2500 SHATTUCK AVE,37.863811,-122.267412
3440,THEFT MISD. (UNDER $950),LARCENY,800 KEELER AVE,37.897147,-122.263275
4234,IDENTITY THEFT,FRAUD,1700 HOPKINS ST,37.882943,-122.279383
2381,BURGLARY AUTO,BURGLARY - VEHICLE,600 WOODMONT AVE,37.902059,-122.265294
2736,VANDALISM,VANDALISM,MARIN AVENUE & THE CIRCLE,37.889999,-122.272456
4561,THEFT MISD. (UNDER $950),LARCENY,1100 ADDISON ST,37.868161,-122.291751
791,BURGLARY AUTO,BURGLARY - VEHICLE,200 UNIVERSITY AVE,37.865491,-122.310065
4596,VEHICLE STOLEN,MOTOR VEHICLE THEFT,NINTH STREET & HARRISON ST,37.881814,-122.298643
573,GUN/WEAPON,WEAPONS OFFENSE,PARKER STREET & CHILTON WAY,37.86317,-122.259572
4924,THEFT MISD. (UNDER $950),LARCENY,900 HILLDALE AVE,37.895849,-122.263428
5450,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SAN PABLO AVENUE & ADDISON ST,37.867835,-122.291645
586,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2100 UNIVERSITY AVE,37.872175,-122.267835
4497,VANDALISM,VANDALISM,1400 SECOND ST,37.875966,-122.304987
4402,VANDALISM,VANDALISM,2500 SHATTUCK AVE,37.863811,-122.267412
5347,IDENTITY THEFT,FRAUD,2000 ASHBY AVE,37.85491,-122.268666
930,THEFT MISD. (UNDER $950),LARCENY,600 WOODMONT AVE,37.902059,-122.265294
4649,THEFT MISD. (UNDER $950),LARCENY,1400 OXFORD ST,37.882135,-122.267239
3619,THEFT MISD. (UNDER $950),LARCENY,CENTER STREET & SHATTUCK AVE,37.870346,-122.267796
207,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2800 WOOLSEY ST,37.854137,-122.251007
4405,VANDALISM,VANDALISM,2100 SHATTUCK AVE,37.871167,-122.268285
796,VANDALISM,VANDALISM,2600 SAN PABLO AVE,37.85922,-122.289035
755,THEFT FELONY (OVER $950),LARCENY,1600 WOOLSEY ST,37.850899,-122.276174
5500,THEFT MISD. (UNDER $950),LARCENY,1400 SHATTUCK AVE,37.881957,-122.269551
579,THEFT MISD. (UNDER $950),LARCENY,1000 OXFORD ST,37.890716,-122.268299
837,GUN/WEAPON,WEAPONS OFFENSE,2200 BONAR ST,37.86695,-122.286984
3428,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1500 DERBY ST,37.858867,-122.278992
5161,THEFT FELONY (OVER $950),LARCENY,1400 SHATTUCK AVE,37.881957,-122.269551
2472,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,37.871167,-122.268285
1610,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DWIGHT WAY,37.864826,-122.260719
1422,ASSAULT/BATTERY MISD.,ASSAULT,CHANNING WAY & SHATTUCK AVE,37.865791,-122.26751
2539,ASSAULT/BATTERY MISD.,ASSAULT,2100 CENTER ST,37.870308,-122.26805
2422,ROBBERY,ROBBERY,3000 SHATTUCK AVE,37.855026,-122.266475
2984,NARCOTICS,DRUG VIOLATION,1000 DELAWARE ST,37.871271,-122.295015
1332,THEFT FELONY (OVER $950),LARCENY,1600 JULIA ST,37.854442,-122.277107
2724,DOMESTIC VIOLENCE,FAMILY OFFENSE,2900 SEVENTH ST,37.852822,-122.291677
3449,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1400 OXFORD ST,37.882135,-122.267239
836,THEFT MISD. (UNDER $950),LARCENY,2200 SHATTUCK AVE,37.869363,-122.268028
3467,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2200 HASTE ST,37.865141,-122.265441
597,VANDALISM,VANDALISM,3100 TELEGRAPH AVE,37.853875,-122.260048
5499,DISTURBANCE,DISORDERLY CONDUCT,1900 SHATTUCK AVE,37.873687,-122.268616
3507,NARCOTICS,DRUG VIOLATION,700 ASHBY AVE,37.849376,-122.294952
4915,DISTURBANCE,DISORDERLY CONDUCT,2500 TELEGRAPH AVE,37.865009,-122.258767
3489,BURGLARY AUTO,BURGLARY - VEHICLE,2400 COLLEGE AVE,37.867482,-122.254253
3977,DISTURBANCE,DISORDERLY CONDUCT,2500 DURANT AVE,37.867852,-122.258699
563,BURGLARY AUTO,BURGLARY - VEHICLE,1100 UNIVERSITY AVE,37.869067,-122.292043
5345,NARCOTICS,DRUG VIOLATION,2000 DEL NORTE ST,37.889017,-122.272389
771,THEFT MISD. (UNDER $950),LARCENY,2100 CENTER ST,37.870308,-122.26805
3936,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2600 DWIGHT WAY,37.86542,-122.25618
466,DOMESTIC VIOLENCE,FAMILY OFFENSE,1600 NINTH ST,37.874554,-122.296319
2611,BURGLARY AUTO,BURGLARY - VEHICLE,1100 UNIVERSITY AVE,37.869067,-122.292043
1837,FRAUD/FORGERY,FRAUD,2100 SHATTUCK AVE,37.871167,-122.268285
878,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2200 PRINCE ST,37.853386,-122.263973
4813,FRAUD/FORGERY,FRAUD,2900 COLLEGE AVE,37.858356,-122.253179
1941,ASSAULT/BATTERY FEL.,ASSAULT,1300 BURNETT ST,37.853603,-122.283961
1294,DISTURBANCE,DISORDERLY CONDUCT,1400 BERKELEY WAY,37.870881,-122.284399
4172,VANDALISM,VANDALISM,2000 SAN PABLO AVE,37.868845,-122.29214
4651,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,3000 CLAREMONT AVE,37.855792,-122.247142
3106,MISSING ADULT,MISSING PERSON,900 COLUSA AVE,37.891368,-122.279257
3110,VANDALISM,VANDALISM,2000 ALLSTON WAY,37.869096,-122.270137
2740,DISTURBANCE,DISORDERLY CONDUCT,2500 DURANT AVE,37.867852,-122.258699
5481,BURGLARY AUTO,BURGLARY - VEHICLE,2000 KITTREDGE ST,37.868204,-122.270054
689,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,37.858079,-122.268016
2683,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,200 TUNNEL RD,37.85405,-122.236429
2033,VANDALISM,VANDALISM,2400 PROSPECT ST,37.867717,-122.249901
5280,ASSAULT/BATTERY MISD.,ASSAULT,CAMELIA STREET & NINTH ST,37.878274,-122.297556
2494,VANDALISM,VANDALISM,2300 PROSPECT ST,37.869332,-122.25019
4338,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,37.858079,-122.268016
2218,VANDALISM,VANDALISM,2400 HILLSIDE AVE,37.867373,-122.249515
3316,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2300 LE CONTE AVE,37.874867,-122.263689
961,VANDALISM,VANDALISM,FOURTH STREET & JONES ST,37.874833,-122.302216
1338,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,37.871167,-122.268285
3719,VANDALISM,VANDALISM,1100 UNIVERSITY AVE,37.869067,-122.292043
5175,THEFT MISD. (UNDER $950),LARCENY,2500 TELEGRAPH AVE,37.865009,-122.258767
1759,DISTURBANCE,DISORDERLY CONDUCT,2400 EIGHTH ST,37.862184,-122.293517
1849,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,37.862844,-122.298368
3242,BURGLARY AUTO,BURGLARY - VEHICLE,700 WILDCAT CANYON RD,37.899628,-122.260739
3377,THEFT MISD. (UNDER $950),LARCENY,200 MARINA BLVD,37.868667,-122.313656
839,NARCOTICS,DRUG VIOLATION,STUART STREET & HILLEGASS AVE,37.859854,-122.255807
2968,BURGLARY AUTO,BURGLARY - VEHICLE,2000 OREGON ST,37.857409,-122.268473
614,BURGLARY AUTO,BURGLARY - VEHICLE,2100 BANCROFT WAY,37.867601,-122.267718
4997,THEFT MISD. (UNDER $950),LARCENY,2500 HILLEGASS AVE,37.865149,-122.256487
3098,BURGLARY AUTO,BURGLARY - VEHICLE,800 DELAWARE ST,37.870393,-122.299532
1098,THEFT FELONY (OVER $950),LARCENY,2100 MCKINLEY AVE,37.870219,-122.273994
5325,THEFT MISD. (UNDER $950),LARCENY,2100 NINTH ST,37.867317,-122.293982
4490,VANDALISM,VANDALISM,2900 COLLEGE AVE,37.858356,-122.253179
2388,VANDALISM,VANDALISM,1900 CHANNING WAY,37.865205,-122.272027
2859,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,3100 TELEGRAPH AVE,37.853875,-122.260048
1124,BURGLARY AUTO,BURGLARY - VEHICLE,800 CAMELIA ST,37.877393,-122.301918
4222,THEFT MISD. (UNDER $950),LARCENY,2500 BANCROFT WAY,37.868722,-122.259123
4590,DISTURBANCE,DISORDERLY CONDUCT,1700 SHATTUCK AVE,37.876307,-122.268923
1947,VANDALISM,VANDALISM,2300 SACRAMENTO ST,37.865816,-122.281601
581,ROBBERY,ROBBERY,2100 SHATTUCK AVE,37.871167,-122.268285
3125,THEFT MISD. (UNDER $950),LARCENY,2600 ETNA ST,37.863824,-122.252575
3028,IDENTITY THEFT,FRAUD,2400 STUART ST,37.859539,-122.259172
868,DISTURBANCE,DISORDERLY CONDUCT,2000 CENTER ST,37.869973,-122.270557
3863,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2300 WARRING ST,37.869137,-122.250908
2599,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2700 DOHR ST,37.857694,-122.281628
1697,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1500 ACTON ST,37.878051,-122.285222
3529,VANDALISM,VANDALISM,2300 WARRING ST,37.869137,-122.250908
1262,ASSAULT/BATTERY MISD.,ASSAULT,2400 ASHBY AVE,37.856111,-122.260248
883,ASSAULT/BATTERY MISD.,ASSAULT,2300 TELEGRAPH AVE,37.868714,-122.259189
2155,BURGLARY AUTO,BURGLARY - VEHICLE,1300 SIXTH ST,37.879335,-122.301332
1284,BURGLARY AUTO,BURGLARY - VEHICLE,ELLSWORTH STREET & DURANT AVE,37.867221,-122.263531
1793,VANDALISM,VANDALISM,2300 ELLSWORTH ST,37.867972,-122.263699
249,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1600 BANCROFT WAY,37.866135,-122.279116
2745,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1100 ARCH ST,37.888784,-122.266699
1068,DISTURBANCE,DISORDERLY CONDUCT,2300 TELEGRAPH AVE,37.868714,-122.259189
2982,ROBBERY,ROBBERY,3200 COLLEGE AVE,37.851038,-122.252448
3203,DOMESTIC VIOLENCE,FAMILY OFFENSE,1200 ASHBY AVE,37.852211,-122.286336
2879,ASSAULT/BATTERY FEL.,ASSAULT,UNIVERSITY AVENUE & W FRONTAGE RD,37.866265,-122.305592
4699,THEFT FELONY (OVER $950),LARCENY,2400 SHATTUCK AVE,37.865772,-122.267643
2076,VANDALISM,VANDALISM,2400 DURANT AVE,37.867513,-122.26127
2581,DISTURBANCE,DISORDERLY CONDUCT,2200 SHATTUCK AVE,37.869363,-122.268028
4447,THEFT MISD. (UNDER $950),LARCENY,1600 ALLSTON WAY,37.867906,-122.279428
1060,BURGLARY AUTO,BURGLARY - VEHICLE,3200 BAKER ST,37.850005,-122.280256
451,THEFT MISD. (UNDER $950),LARCENY,1200 ASHBY AVE,37.852211,-122.286336
5,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1500 PRINCE ST,37.851503,-122.278518
4264,VANDALISM,VANDALISM,1300 SCENIC AVE,37.883404,-122.263439
1288,NARCOTICS,DRUG VIOLATION,SHATTUCK AVENUE & ADDISON ST,37.871167,-122.268285
3232,ROBBERY,ROBBERY,2600 HILLEGASS AVE,37.863292,-122.256293
646,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DWIGHT WAY,37.864826,-122.260719
4317,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2300 DURANT AVE,37.867259,-122.26324
1407,DISTURBANCE,DISORDERLY CONDUCT,2000 OREGON ST,37.857409,-122.268473
3953,BURGLARY AUTO,BURGLARY - VEHICLE,2500 HILGARD AVE,37.878629,-122.260883
3286,NARCOTICS,DRUG VIOLATION,DWIGHT WAY & REGENT ST,37.865202,-122.257795
3024,IDENTITY THEFT,FRAUD,2700 STUART ST,37.859846,-122.253325
1454,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2100 MCKINLEY AVE,37.870219,-122.273994
3753,THEFT MISD. (UNDER $950),LARCENY,1400 NORTHSIDE AVE,37.878734,-122.289653
4293,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2000 FOURTH ST,37.867026,-122.299737
236,FRAUD/FORGERY,FRAUD,200 UNIVERSITY AVE,37.865491,-122.310065
4233,BURGLARY AUTO,BURGLARY - VEHICLE,2100 MILVIA ST,37.870603,-122.270612
4830,THEFT MISD. (UNDER $950),LARCENY,1400 RUSSELL ST,37.854565,-122.281466
778,VANDALISM,VANDALISM,1500 UNIVERSITY AVE,37.870396,-122.281585
3096,DISTURBANCE,DISORDERLY CONDUCT,1500 SOLANO AVE,37.890928,-122.287251
1778,ROBBERY,ROBBERY,1900 CENTER ST,37.869685,-122.272804
4267,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2600 TELEGRAPH AVE,37.862927,-122.258784
5452,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2400 HILGARD AVE,37.878373,-122.262902
2555,IDENTITY THEFT,FRAUD,1300 VIRGINIA ST,37.874095,-122.288542
4410,BURGLARY AUTO,BURGLARY - VEHICLE,2500 SAN PABLO AVE,37.861078,-122.289632
1036,VANDALISM,VANDALISM,1900 SHATTUCK AVE,37.873687,-122.268616
26,IDENTITY THEFT,FRAUD,10 BRIDGE RD,37.855584,-122.238474
946,FRAUD/FORGERY,FRAUD,1700 SHATTUCK AVE,37.876307,-122.268923
1891,VANDALISM,VANDALISM,2300 DURANT AVE,37.867259,-122.26324
4817,THEFT MISD. (UNDER $950),LARCENY,2100 FOURTH ST,37.866253,-122.299483
468,VANDALISM,VANDALISM,1600 FAIRVIEW ST,37.850001,-122.275963
1299,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,REGENT STREET & DWIGHT WAY,37.865202,-122.257795
5294,BURGLARY AUTO,BURGLARY - VEHICLE,1000 GILMAN ST,37.88015,-122.297446
3365,DISTURBANCE,DISORDERLY CONDUCT,2300 SEVENTH ST,37.863564,-122.295135
3659,ASSAULT/BATTERY FEL.,ASSAULT,SHATTUCK AVENUE & CENTER ST,37.870346,-122.267796
4870,NARCOTICS,DRUG VIOLATION,1900 SHATTUCK AVE,37.873687,-122.268616
4061,MISSING ADULT,MISSING PERSON,1600 ALCATRAZ AVE,37.848152,-122.275807
2562,NARCOTICS,DRUG VIOLATION,POTTER STREET & BOLIVAR DR,37.850424,-122.296031
3990,IDENTITY THEFT,FRAUD,2200 DURANT AVE,37.866969,-122.26553
4906,ASSAULT/BATTERY MISD.,ASSAULT,1800 UNIVERSITY AVE,37.871246,-122.274991
128,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2500 LE CONTE AVE,37.876965,-122.260544
2786,NARCOTICS,DRUG VIOLATION,2700 SAN PABLO AVE,37.857743,-122.288545
3937,DISTURBANCE,DISORDERLY CONDUCT,1700 MARIN AVE,37.889507,-122.28167
2706,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1200 FIFTH ST,37.880786,-122.303067
1451,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,37.862844,-122.298368
4057,THEFT FELONY (OVER $950),LARCENY,2100 BONAR ST,37.868747,-122.287342
1362,VANDALISM,VANDALISM,THOUSAND OAKS BOULEVARD & VINCENTE AVE,37.897023,-122.284241
3236,BURGLARY AUTO,BURGLARY - VEHICLE,2500 SAN PABLO AVE,37.861078,-122.289632
5350,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1000 GRAYSON ST,37.855748,-122.290281
1718,THEFT MISD. (UNDER $950),LARCENY,1500 HOPKINS ST,37.881004,-122.283225
3038,BURGLARY AUTO,BURGLARY - VEHICLE,700 ADDISON ST,37.866145,-122.300016
2999,VEHICLE STOLEN,MOTOR VEHICLE THEFT,3000 SHATTUCK AVE,37.855026,-122.266475
2818,BURGLARY AUTO,BURGLARY - VEHICLE,2600 SAN PABLO AVE,37.85922,-122.289035
5262,BURGLARY AUTO,BURGLARY - VEHICLE,1000 GILMAN ST,37.88015,-122.297446
3664,MISSING ADULT,MISSING PERSON,1500 SCENIC AVE,37.880893,-122.263673
644,DISTURBANCE,DISORDERLY CONDUCT,1600 WOOLSEY ST,37.850899,-122.276174
1055,BURGLARY AUTO,BURGLARY - VEHICLE,2500 CHILTON WAY,37.864101,-122.25956
2669,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2500 TELEGRAPH AVE,37.865009,-122.258767
5114,BURGLARY AUTO,BURGLARY - VEHICLE,1900 UNIVERSITY AVE,37.871544,-122.272714
189,ASSAULT/BATTERY FEL.,ASSAULT,1200 HASKELL ST,37.850541,-122.286037
3896,THEFT MISD. (UNDER $950),LARCENY,800 ANTHONY ST,37.85175,-122.29379
2272,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2700 FOREST AVE,37.861417,-122.253149
3915,BURGLARY AUTO,BURGLARY - VEHICLE,FOURTH STREET & ALLSTON WAY,37.864836,-122.299024
2896,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2800 DERBY ST,37.862264,-122.250972
508,ROBBERY,ROBBERY,2300 SHATTUCK AVE,37.867176,-122.267802
2118,THEFT MISD. (UNDER $950),LARCENY,2400 SHATTUCK AVE,37.865772,-122.267643
1960,THEFT FROM AUTO,LARCENY - FROM VEHICLE,900 UNIVERSITY AVE,37.868273,-122.295963
4821,VANDALISM,VANDALISM,2400 BANCROFT WAY,37.868447,-122.261268
5265,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1700 SHATTUCK AVE,37.876307,-122.268923
3598,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1400 HAWTHORNE TER,37.882459,-122.261815
1595,THEFT FELONY (OVER $950),LARCENY,2300 BOWDITCH ST,37.868997,-122.256886
3618,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1800 WALNUT ST,37.874929,-122.267601
2488,BURGLARY AUTO,BURGLARY - VEHICLE,ELLSWORTH STREET & STUART ST,37.859195,-122.261915
4217,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2900 LORINA ST,37.856847,-122.265765
3460,VANDALISM,VANDALISM,1500 UNIVERSITY AVE,37.870396,-122.281585
4433,BURGLARY AUTO,BURGLARY - VEHICLE,SHATTUCK AVENUE & STUART ST,37.858525,-122.266906
1644,THEFT MISD. (UNDER $950),LARCENY,2400 PIEDMONT CIR,37.867546,-122.251967
